alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.15,15,SIGN,13.506362899201731,0.1015625,0.008729094837725021,0.08723637508228421,0.019114415859803557,0.16831258404999971,,,,,,,,,0.08723637508228421,0.0872278343886137,8.540693670511246e-06,0.2746633749920875,,,,,,,,,,8.141715079545975e-05,13.0,2.0,0.007758959196507931,0.007485207868739963,0.0010545409750193357,6.741704419255257e-05,9.624985978007317e-06,0.07077066716738045
0.15,16,SIGN,16.576296951026364,0.2994791666666667,0.025789015039015234,0.10634287493303418,0.021970875095576048,0.195613875053823,,,,,,,,,0.10634287493303418,0.10633637406863272,6.500864401459694e-06,0.3239276250824332,,,,,,,,,,6.825011223554611e-05,13.0,2.0,0.011652792105451226,0.005504082888364792,0.0006018329877406359,6.812508217990398e-05,9.54093411564827e-06,0.08843174995854497
0.15,17,SIGN,14.333348839304733,0.18489583333333331,0.021420547498755382,0.0860702081117779,0.021708207903429866,0.10660845902748406,,,,,,,,,0.0860702081117779,0.0860626248177141,7.583294063806534e-06,0.21438687504269183,,,,,,,,,,0.00011087511666119099,13.0,2.0,0.007072667125612497,0.005983707960695028,0.0009161250200122595,6.945780478417873e-05,8.874805644154549e-06,0.07190091698430479
0.15,18,SIGN,14.128326832640893,0.16666666666666669,0.016126510655450704,0.08077412517741323,0.01979279099032283,0.16891100001521409,,,,,,,,,0.08077412517741323,0.08076770906336606,6.416114047169685e-06,0.26947791618295014,,,,,,,,,,7.220893166959286e-05,13.0,2.0,0.004943290958181024,0.006582000060006976,0.002324500121176243,0.00010229204781353474,2.0249979570508003e-05,0.06672316696494818
0.15,19,SIGN,13.422989510021438,0.09635416666666667,0.009704488984975307,0.09144799993373454,0.02329920814372599,0.17717345897108316,,,,,,,,,0.09144799993373454,0.0914385849609971,9.414972737431526e-06,0.2919206670485437,,,,,,,,,,7.154187187552452e-05,13.0,2.0,0.007905042031779885,0.011759124929085374,0.001961749978363514,0.00010479218326508999,2.091703936457634e-05,0.06961541692726314
0.15,20,SIGN,14.402313621400516,0.04427083333333333,0.007402534466279337,0.07097424985840917,0.019620999926701188,0.1565363749396056,,,,,,,,,0.07097424985840917,0.07096766517497599,6.584683433175087e-06,0.24713162472471595,,,,,,,,,,6.533297710120678e-05,13.0,2.0,0.007457333151251078,0.004193250089883804,0.0009694159962236881,7.324991747736931e-05,1.0041054338216782e-05,0.05819904198870063
0.2,1,SIGN,15.171780649122285,0.0,0.0023271180473941055,0.07831120793707669,0.02212762483395636,0.18003704096190631,,,,,,,,,0.07831120793707669,0.07830158388242126,9.624054655432701e-06,0.28047587373293936,,,,,,,,,,7.570884190499783e-05,13.0,2.0,0.010700250044465065,0.009266125038266182,0.004560000030323863,0.00010349997319281101,1.995800994336605e-05,0.05357604194432497
0.2,2,SIGN,15.18683211177458,0.0026041666666666665,0.00375842651812916,0.07408799999393523,0.019374207826331258,0.1636416669934988,,,,,,,,,0.07408799999393523,0.07407837430946529,9.625684469938278e-06,0.2571038748137653,,,,,,,,,,6.845803000032902e-05,13.0,2.0,0.0078983751591295,0.007907457882538438,0.0008613329846411943,0.00012125005014240742,1.9625062122941017e-05,0.05720187514089048
0.2,3,SIGN,14.281916914425054,0.0026041666666666665,0.0036440129266276378,0.0918738329783082,0.019885040819644928,0.2040827909950167,,,,,,,,,0.0918738329783082,0.09186804201453924,5.790963768959045e-06,0.3158416647929698,,,,,,,,,,7.229205220937729e-05,13.0,2.0,0.006959332851693034,0.009401916991919279,0.001267208019271493,9.625009261071682e-05,1.979200169444084e-05,0.0740512500051409
0.2,4,SIGN,14.567008158908656,0.0078125,0.006330529193761231,0.08168262499384582,0.019521208945661783,0.16801200015470386,,,,,,,,,0.08168262499384582,0.08167649945244193,6.125541403889656e-06,0.26921583409421146,,,,,,,,,,7.670791819691658e-05,13.0,2.0,0.005890166154131293,0.00572116719558835,0.0021672919392585754,0.00012758304364979267,2.037500962615013e-05,0.06767320819199085
0.2,5,SIGN,14.61972698763093,0.0078125,0.004095882556503977,0.07707479200325906,0.02027470781467855,0.17621262511238456,,,,,,,,,0.07707479200325906,0.07706700125709176,7.790746167302132e-06,0.27356212493032217,,,,,,,,,,7.308414205908775e-05,13.0,2.0,0.00913941697217524,0.006954125128686428,0.0015766669530421495,9.300000965595245e-05,1.0333023965358734e-05,0.059220375027507544
0.2,6,SIGN,15.36810806797965,0.0078125,0.005324699320815834,0.15456650010310113,0.02625445881858468,0.167966749984771,,,,,,,,,0.15456650010310113,0.15455645904876292,1.0041054338216782e-05,0.34878770890645683,,,,,,,,,,8.249981328845024e-05,13.0,2.0,0.007974375039339066,0.017850208096206188,0.010661792010068893,6.708293221890926e-05,9.209150448441505e-06,0.11791129200719297
0.2,7,SIGN,14.709196770877513,0.0,0.0037708415375801996,0.06689729215577245,0.022509041940793395,0.1676477501168847,,,,,,,,,0.06689729215577245,0.06688920874148607,8.083414286375046e-06,0.25705408421345055,,,,,,,,,,0.00010987510904669762,13.0,2.0,0.00785504188388586,0.004672459093853831,0.002085666870698333,6.704195402562618e-05,8.832896128296852e-06,0.05209029093384743
0.2,8,SIGN,15.679092638870955,0.010416666666666666,0.004827773451002132,0.09477970795705914,0.017557374900206923,0.17316804081201553,,,,,,,,,0.09477970795705914,0.09477358311414719,6.1248429119586945e-06,0.2855051236692816,,,,,,,,,,0.0001066671684384346,13.0,2.0,0.008872291073203087,0.006636082893237472,0.0005430839955806732,6.970809772610664e-05,9.541865438222885e-06,0.07853620802052319
0.2,9,SIGN,14.984966113354199,0.0078125,0.006868643291261495,0.07972275000065565,0.024038166971877217,0.16661958280019462,,,,,,,,,0.07972275000065565,0.0797160416841507,6.708316504955292e-06,0.2703804997727275,,,,,,,,,,6.77080824971199e-05,13.0,2.0,0.007019208045676351,0.008048125077039003,0.000899250153452158,7.225014269351959e-05,9.958166629076004e-06,0.06359954201616347
0.2,10,SIGN,14.914624764380338,0.0026041666666666665,0.004554295687267174,0.05921049998141825,0.019319332903251052,0.2060821671038866,,,,,,,,,0.05921049998141825,0.05920124892145395,9.251059964299202e-06,0.2846119999885559,,,,,,,,,,0.00010862480849027634,13.0,2.0,0.008469083113595843,0.006965332897379994,0.0013325409963726997,0.00013354094699025154,2.2709136828780174e-05,0.04216941702179611
0.2,11,SIGN,15.447862680670287,0.0026041666666666665,0.005013905504431648,0.08323483285494149,0.023313459008932114,0.16854866710491478,,,,,,,,,0.08323483285494149,0.08322574943304062,9.083421900868416e-06,0.2750969589687884,,,,,,,,,,7.291603833436966e-05,13.0,2.0,0.01737887505441904,0.014523625141009688,0.0012702499516308308,0.00010775006376206875,1.9625062122941017e-05,0.04985270812176168
0.2,12,SIGN,14.989858302687967,0.013020833333333332,0.006737760497358164,0.068810666911304,0.020877957809716463,0.1356237498112023,,,,,,,,,0.068810666911304,0.06880516605451703,5.500856786966324e-06,0.22531237453222275,,,,,,,,,,6.745802238583565e-05,13.0,2.0,0.00820583407767117,0.007549333153292537,0.0008583329617977142,7.962482050061226e-05,8.792150765657425e-06,0.052035790868103504
0.2,13,SIGN,14.300520297847969,0.0026041666666666665,0.00394648436510836,0.08275904087349772,0.022029999876394868,0.17411991604603827,,,,,,,,,0.08275904087349772,0.08274975093081594,9.289942681789398e-06,0.27890895679593086,,,,,,,,,,0.0001496670302003622,13.0,2.0,0.007783374981954694,0.011965791927650571,0.004865833092480898,6.616697646677494e-05,9.207986295223236e-06,0.05790970893576741
0.2,14,SIGN,15.83998997552748,0.0078125,0.004924143276904963,0.05975579097867012,0.020506040891632438,0.185030166991055,,,,,,,,,0.05975579097867012,0.05974858207628131,7.2089023888111115e-06,0.26529199886135757,,,,,,,,,,6.96659553796053e-05,13.0,2.0,0.007827708031982183,0.009443916846066713,0.003242083126679063,0.00012095808051526546,2.0666979253292084e-05,0.03902358305640519
0.2,15,SIGN,14.827069489984433,0.0,0.004962611907414205,0.05122741707600653,0.017145291902124882,0.16906516696326435,,,,,,,,,0.05122741707600653,0.05122033320367336,7.0838723331689835e-06,0.23743787594139576,,,,,,,,,,0.00011062505654990673,13.0,2.0,0.007442666916176677,0.005212957970798016,0.003998083062469959,0.00013012508861720562,2.150004729628563e-05,0.03430437506176531
0.2,16,SIGN,14.839982061783289,0.010416666666666666,0.008117975210698375,0.10838091699406505,0.023638457991182804,0.2047063340432942,,,,,,,,,0.10838091699406505,0.10837241681292653,8.500181138515472e-06,0.33672570902854204,,,,,,,,,,7.112487219274044e-05,13.0,2.0,0.007989708101376891,0.006390958093106747,0.000941416947171092,7.558404467999935e-05,9.916955605149269e-06,0.09289370779879391
0.2,17,SIGN,14.56557663124053,0.013020833333333332,0.006060251816633971,0.07808979204855859,0.02160512492991984,0.17665683315135539,,,,,,,,,0.07808979204855859,0.07808424951508641,5.5425334721803665e-06,0.2763517501298338,,,,,,,,,,6.579188629984856e-05,13.0,2.0,0.004662666004151106,0.007493083830922842,0.0025291249621659517,5.820789374411106e-05,9.041978046298027e-06,0.06326633295975626
0.2,18,SIGN,15.206292428848956,0.0026041666666666665,0.00439937660466394,0.053745000157505274,0.02552412496879697,0.169533499982208,,,,,,,,,0.053745000157505274,0.05373754072934389,7.459428161382675e-06,0.24880262510851026,,,,,,,,,,0.00011566583998501301,13.0,2.0,0.008711125003173947,0.007873374968767166,0.002454624976962805,0.00010441686026751995,1.991703175008297e-05,0.03445841604843736
0.2,19,SIGN,14.809052331963578,0.010416666666666666,0.009280177797949402,0.10247737495228648,0.02148716594092548,0.17795945797115564,,,,,,,,,0.10247737495228648,0.10247045825235546,6.916699931025505e-06,0.3019239988643676,,,,,,,,,,6.658397614955902e-05,13.0,2.0,0.006859250133857131,0.008232833119109273,0.0015150411054491997,6.10831193625927e-05,8.333008736371994e-06,0.08572733378969133
0.2,20,SIGN,15.374404670811721,0.015625,0.006020949435569856,0.048741749953478575,0.020655167056247592,0.18676566588692367,,,,,,,,,0.048741749953478575,0.048735498916357756,6.251037120819092e-06,0.25616258289664984,,,,,,,,,,6.766594015061855e-05,13.0,2.0,0.007752791978418827,0.008046624949201941,0.001102958107367158,0.00010495795868337154,2.0290957763791084e-05,0.03164020902477205
